Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power
Wed Nov 25 2020 01:08:00 GMT+1100 (AEDT),0,938.3333333333334,938.3333333333334,0
Wed Nov 25 2020 01:09:00 GMT+1100 (AEDT),0,939.1666666666666,939.1666666666666,0
Wed Nov 25 2020 01:10:00 GMT+1100 (AEDT),0,942.3333333333334,942.3333333333334,0
Wed Nov 25 2020 01:11:00 GMT+1100 (AEDT),0,948.8333333333334,948.8333333333334,0
Wed Nov 25 2020 01:12:00 GMT+1100 (AEDT),0,941.5,941.5,0
Wed Nov 25 2020 01:13:00 GMT+1100 (AEDT),0,946.6666666666666,946.6666666666666,0
Wed Nov 25 2020 01:14:00 GMT+1100 (AEDT),0,936.3333333333334,936.3333333333334,0
Wed Nov 25 2020 01:15:00 GMT+1100 (AEDT),0,941.8333333333334,941.8333333333334,0
Wed Nov 25 2020 01:16:00 GMT+1100 (AEDT),0,937.3333333333334,937.3333333333334,0
Wed Nov 25 2020 01:17:00 GMT+1100 (AEDT),0,936.1666666666666,936.1666666666666,0
Wed Nov 25 2020 01:18:00 GMT+1100 (AEDT),0,931.5,931.5,0
Wed Nov 25 2020 01:19:00 GMT+1100 (AEDT),0,933,933,0
Wed Nov 25 2020 01:20:00 GMT+1100 (AEDT),0,941.1666666666666,941.1666666666666,0
Wed Nov 25 2020 01:21:00 GMT+1100 (AEDT),0,929.5,929.5,0
Wed Nov 25 2020 01:22:00 GMT+1100 (AEDT),0,928.8333333333334,928.8333333333334,0
Wed Nov 25 2020 01:23:00 GMT+1100 (AEDT),0,952.6666666666666,952.6666666666666,0
Wed Nov 25 2020 01:24:00 GMT+1100 (AEDT),0,941.5,941.5,0
Wed Nov 25 2020 01:25:00 GMT+1100 (AEDT),0,923.3333333333334,923.3333333333334,0
Wed Nov 25 2020 01:26:00 GMT+1100 (AEDT),0,915.6666666666666,915.6666666666666,0
Wed Nov 25 2020 01:27:00 GMT+1100 (AEDT),0,933.6666666666666,933.6666666666666,0
Wed Nov 25 2020 01:28:00 GMT+1100 (AEDT),0,940.3333333333334,940.3333333333334,0
Wed Nov 25 2020 01:29:00 GMT+1100 (AEDT),0,949.6666666666666,949.6666666666666,0
Wed Nov 25 2020 01:30:00 GMT+1100 (AEDT),0,962.5,962.5,0
Wed Nov 25 2020 01:31:00 GMT+1100 (AEDT),0,949.5,949.5,0
Wed Nov 25 2020 01:32:00 GMT+1100 (AEDT),0,957,957,0
Wed Nov 25 2020 01:33:00 GMT+1100 (AEDT),0,936.8333333333334,936.8333333333334,0
Wed Nov 25 2020 01:34:00 GMT+1100 (AEDT),0,936.5,936.5,0
Wed Nov 25 2020 01:35:00 GMT+1100 (AEDT),0,934,934,0
Wed Nov 25 2020 01:36:00 GMT+1100 (AEDT),0,949.5,949.5,0
Wed Nov 25 2020 01:37:00 GMT+1100 (AEDT),0,927.6666666666666,927.6666666666666,0
Wed Nov 25 2020 01:38:00 GMT+1100 (AEDT),0,927,927,0
Wed Nov 25 2020 01:39:00 GMT+1100 (AEDT),0,927,927,0
Wed Nov 25 2020 01:40:00 GMT+1100 (AEDT),0,913,913,0
Wed Nov 25 2020 01:41:00 GMT+1100 (AEDT),0,928.3333333333334,928.3333333333334,0
Wed Nov 25 2020 01:42:00 GMT+1100 (AEDT),0,927.6666666666666,927.6666666666666,0
Wed Nov 25 2020 01:43:00 GMT+1100 (AEDT),0,924.6666666666666,924.6666666666666,0
Wed Nov 25 2020 01:44:00 GMT+1100 (AEDT),0,934.1666666666666,934.1666666666666,0
Wed Nov 25 2020 01:45:00 GMT+1100 (AEDT),0,947,947,0
Wed Nov 25 2020 01:46:00 GMT+1100 (AEDT),0,932.6666666666666,932.6666666666666,0
Wed Nov 25 2020 01:47:00 GMT+1100 (AEDT),0,939.6666666666666,939.6666666666666,0
Wed Nov 25 2020 01:48:00 GMT+1100 (AEDT),0,945.8333333333334,945.8333333333334,0
Wed Nov 25 2020 01:49:00 GMT+1100 (AEDT),0,928.8333333333334,928.8333333333334,0
Wed Nov 25 2020 01:50:00 GMT+1100 (AEDT),0,928.1666666666666,928.1666666666666,0
Wed Nov 25 2020 01:51:00 GMT+1100 (AEDT),0,926.1666666666666,926.1666666666666,0
Wed Nov 25 2020 01:52:00 GMT+1100 (AEDT),0,929,929,0
Wed Nov 25 2020 01:53:00 GMT+1100 (AEDT),0,924.3333333333334,924.3333333333334,0
Wed Nov 25 2020 01:54:00 GMT+1100 (AEDT),0,933.3333333333334,933.3333333333334,0
Wed Nov 25 2020 01:55:00 GMT+1100 (AEDT),0,914.3333333333334,914.3333333333334,0
Wed Nov 25 2020 01:56:00 GMT+1100 (AEDT),0,923.3333333333334,923.3333333333334,0
Wed Nov 25 2020 01:57:00 GMT+1100 (AEDT),0,930,930,0
Wed Nov 25 2020 01:58:00 GMT+1100 (AEDT),0,931.3333333333334,931.3333333333334,0
Wed Nov 25 2020 01:59:00 GMT+1100 (AEDT),0,930.5,930.5,0
Wed Nov 25 2020 02:00:00 GMT+1100 (AEDT),0,933.1666666666666,933.1666666666666,0
Wed Nov 25 2020 02:01:00 GMT+1100 (AEDT),0,925.6666666666666,925.6666666666666,0
Wed Nov 25 2020 02:02:00 GMT+1100 (AEDT),0,923.3333333333334,923.3333333333334,0
Wed Nov 25 2020 02:03:00 GMT+1100 (AEDT),0,921.1666666666666,921.1666666666666,0
Wed Nov 25 2020 02:04:00 GMT+1100 (AEDT),0,935.5,935.5,0
Wed Nov 25 2020 02:05:00 GMT+1100 (AEDT),0,933.5,933.5,0
Wed Nov 25 2020 02:06:00 GMT+1100 (AEDT),0,941,941,0
Wed Nov 25 2020 02:07:00 GMT+1100 (AEDT),0,926,926,0
Wed Nov 25 2020 02:08:00 GMT+1100 (AEDT),0,918.5,918.5,0
Wed Nov 25 2020 02:09:00 GMT+1100 (AEDT),0,914.5,914.5,0
Wed Nov 25 2020 02:10:00 GMT+1100 (AEDT),0,922.5,922.5,0
Wed Nov 25 2020 02:11:00 GMT+1100 (AEDT),0,960,960,0
Wed Nov 25 2020 02:12:00 GMT+1100 (AEDT),0,919.5,919.5,0
Wed Nov 25 2020 02:13:00 GMT+1100 (AEDT),0,925.5,925.5,0
Wed Nov 25 2020 02:14:00 GMT+1100 (AEDT),0,915.5,915.5,0
Wed Nov 25 2020 02:15:00 GMT+1100 (AEDT),0,920,920,0
Wed Nov 25 2020 02:16:00 GMT+1100 (AEDT),0,931.5,931.5,0
Wed Nov 25 2020 02:17:00 GMT+1100 (AEDT),0,931,931,0
Wed Nov 25 2020 02:18:00 GMT+1100 (AEDT),0,922.5,922.5,0
Wed Nov 25 2020 02:19:00 GMT+1100 (AEDT),0,952.5,952.5,0
Wed Nov 25 2020 02:20:00 GMT+1100 (AEDT),0,914,914,0
Wed Nov 25 2020 02:21:00 GMT+1100 (AEDT),0,920,920,0
Wed Nov 25 2020 02:22:00 GMT+1100 (AEDT),0,930,930,0
Wed Nov 25 2020 02:23:00 GMT+1100 (AEDT),0,935.5,935.5,0
Wed Nov 25 2020 02:24:00 GMT+1100 (AEDT),0,939.5,939.5,0
Wed Nov 25 2020 02:25:00 GMT+1100 (AEDT),0,917.5,917.5,0
Wed Nov 25 2020 02:26:00 GMT+1100 (AEDT),0,940,940,0
Wed Nov 25 2020 02:27:00 GMT+1100 (AEDT),0,921.5,921.5,0
Wed Nov 25 2020 02:28:00 GMT+1100 (AEDT),0,929,929,0
Wed Nov 25 2020 02:29:00 GMT+1100 (AEDT),0,941.5,941.5,0
Wed Nov 25 2020 02:30:00 GMT+1100 (AEDT),0,943.5,943.5,0
Wed Nov 25 2020 02:31:00 GMT+1100 (AEDT),0,945,945,0
Wed Nov 25 2020 02:32:00 GMT+1100 (AEDT),0,935,935,0
Wed Nov 25 2020 02:33:00 GMT+1100 (AEDT),0,937,937,0
Wed Nov 25 2020 02:34:00 GMT+1100 (AEDT),0,944,944,0
Wed Nov 25 2020 02:35:00 GMT+1100 (AEDT),0,941.5,941.5,0
Wed Nov 25 2020 02:36:00 GMT+1100 (AEDT),0,946,946,0
Wed Nov 25 2020 02:37:00 GMT+1100 (AEDT),0,944.5,944.5,0
Wed Nov 25 2020 02:38:00 GMT+1100 (AEDT),0,941.5,941.5,0
Wed Nov 25 2020 02:39:00 GMT+1100 (AEDT),0,941.5,941.5,0
Wed Nov 25 2020 02:40:00 GMT+1100 (AEDT),0,934.5,934.5,0
Wed Nov 25 2020 02:41:00 GMT+1100 (AEDT),0,940,940,0
Wed Nov 25 2020 02:42:00 GMT+1100 (AEDT),0,949,949,0
Wed Nov 25 2020 02:43:00 GMT+1100 (AEDT),0,961.5,961.5,0
Wed Nov 25 2020 02:44:00 GMT+1100 (AEDT),0,949,949,0
Wed Nov 25 2020 02:45:00 GMT+1100 (AEDT),0,940.3333333333334,940.3333333333334,0
Wed Nov 25 2020 02:46:00 GMT+1100 (AEDT),0,938.8333333333334,938.8333333333334,0
Wed Nov 25 2020 02:47:00 GMT+1100 (AEDT),0,930.3333333333334,930.3333333333334,0
Wed Nov 25 2020 02:48:00 GMT+1100 (AEDT),0,969.6666666666666,969.6666666666666,0
Wed Nov 25 2020 02:49:00 GMT+1100 (AEDT),0,982.3333333333334,982.3333333333334,0
Wed Nov 25 2020 02:50:00 GMT+1100 (AEDT),0,957.8333333333334,957.8333333333334,0
Wed Nov 25 2020 02:51:00 GMT+1100 (AEDT),0,964.6666666666666,964.6666666666666,0
Wed Nov 25 2020 02:52:00 GMT+1100 (AEDT),0,970.8333333333334,970.8333333333334,0
Wed Nov 25 2020 02:53:00 GMT+1100 (AEDT),0,961,961,0
Wed Nov 25 2020 02:54:00 GMT+1100 (AEDT),0,958.6666666666666,958.6666666666666,0
Wed Nov 25 2020 02:55:00 GMT+1100 (AEDT),0,963.6666666666666,963.6666666666666,0
Wed Nov 25 2020 02:56:00 GMT+1100 (AEDT),0,944,944,0
Wed Nov 25 2020 02:57:00 GMT+1100 (AEDT),0,917.5,917.5,0
Wed Nov 25 2020 02:58:00 GMT+1100 (AEDT),0,820.8333333333334,820.8333333333334,0
Wed Nov 25 2020 02:59:00 GMT+1100 (AEDT),0,817.8333333333334,817.8333333333334,0
Wed Nov 25 2020 03:00:00 GMT+1100 (AEDT),0,823.6666666666666,823.6666666666666,0
Wed Nov 25 2020 03:01:00 GMT+1100 (AEDT),0,826,826,0
Wed Nov 25 2020 03:02:00 GMT+1100 (AEDT),0,841.5,841.5,0
Wed Nov 25 2020 03:03:00 GMT+1100 (AEDT),0,843,843,0
Wed Nov 25 2020 03:04:00 GMT+1100 (AEDT),0,847,847,0
Wed Nov 25 2020 03:05:00 GMT+1100 (AEDT),0,829.8333333333334,829.8333333333334,0
Wed Nov 25 2020 03:06:00 GMT+1100 (AEDT),0,833.8333333333334,833.8333333333334,0
Wed Nov 25 2020 03:07:00 GMT+1100 (AEDT),0,854.6666666666666,854.6666666666666,0
Wed Nov 25 2020 03:08:00 GMT+1100 (AEDT),0,980.1666666666666,980.1666666666666,0
Wed Nov 25 2020 03:09:00 GMT+1100 (AEDT),0,942.8333333333334,942.8333333333334,0
Wed Nov 25 2020 03:10:00 GMT+1100 (AEDT),0,946,946,0
Wed Nov 25 2020 03:11:00 GMT+1100 (AEDT),0,948.1666666666666,948.1666666666666,0
Wed Nov 25 2020 03:12:00 GMT+1100 (AEDT),0,956,956,0
Wed Nov 25 2020 03:13:00 GMT+1100 (AEDT),0,948,948,0
Wed Nov 25 2020 03:14:00 GMT+1100 (AEDT),0,958.1666666666666,958.1666666666666,0
Wed Nov 25 2020 03:15:00 GMT+1100 (AEDT),0,951.5,951.5,0
Wed Nov 25 2020 03:16:00 GMT+1100 (AEDT),0,955.8333333333334,955.8333333333334,0
Wed Nov 25 2020 03:17:00 GMT+1100 (AEDT),0,951.1666666666666,951.1666666666666,0
Wed Nov 25 2020 03:18:00 GMT+1100 (AEDT),0,948.6666666666666,948.6666666666666,0
Wed Nov 25 2020 03:19:00 GMT+1100 (AEDT),0,957.8333333333334,957.8333333333334,0
Wed Nov 25 2020 03:20:00 GMT+1100 (AEDT),0,966.8333333333334,966.8333333333334,0
Wed Nov 25 2020 03:21:00 GMT+1100 (AEDT),0,965.3333333333334,965.3333333333334,0
Wed Nov 25 2020 03:22:00 GMT+1100 (AEDT),0,951,951,0
Wed Nov 25 2020 03:23:00 GMT+1100 (AEDT),0,951.5,951.5,0
Wed Nov 25 2020 03:24:00 GMT+1100 (AEDT),0,949.8333333333334,949.8333333333334,0
Wed Nov 25 2020 03:25:00 GMT+1100 (AEDT),0,951.6666666666666,951.6666666666666,0
Wed Nov 25 2020 03:26:00 GMT+1100 (AEDT),0,959.6666666666666,959.6666666666666,0
Wed Nov 25 2020 03:27:00 GMT+1100 (AEDT),0,946,946,0
Wed Nov 25 2020 03:28:00 GMT+1100 (AEDT),0,944.6666666666666,944.6666666666666,0
Wed Nov 25 2020 03:29:00 GMT+1100 (AEDT),0,937.3333333333334,937.3333333333334,0
Wed Nov 25 2020 03:30:00 GMT+1100 (AEDT),0,940,940,0
Wed Nov 25 2020 03:31:00 GMT+1100 (AEDT),0,934.8333333333334,934.8333333333334,0
Wed Nov 25 2020 03:32:00 GMT+1100 (AEDT),0,946.6666666666666,946.6666666666666,0
Wed Nov 25 2020 03:33:00 GMT+1100 (AEDT),0,919.3333333333334,919.3333333333334,0
Wed Nov 25 2020 03:34:00 GMT+1100 (AEDT),0,919.8333333333334,919.8333333333334,0
Wed Nov 25 2020 03:35:00 GMT+1100 (AEDT),0,928.1666666666666,928.1666666666666,0
Wed Nov 25 2020 03:36:00 GMT+1100 (AEDT),0,927.3333333333334,927.3333333333334,0
Wed Nov 25 2020 03:37:00 GMT+1100 (AEDT),0,931,931,0
Wed Nov 25 2020 03:38:00 GMT+1100 (AEDT),0,913.5,913.5,0
Wed Nov 25 2020 03:39:00 GMT+1100 (AEDT),0,928.1666666666666,928.1666666666666,0
Wed Nov 25 2020 03:40:00 GMT+1100 (AEDT),0,917.5,917.5,0
Wed Nov 25 2020 03:41:00 GMT+1100 (AEDT),0,922.6666666666666,922.6666666666666,0
Wed Nov 25 2020 03:42:00 GMT+1100 (AEDT),0,921.5,921.5,0
Wed Nov 25 2020 03:43:00 GMT+1100 (AEDT),0,919.8333333333334,919.8333333333334,0
Wed Nov 25 2020 03:44:00 GMT+1100 (AEDT),0,924,924,0
